Sx00cos,Sx00sin,Sx01cos,Sx01sin,Sx02cos,Sx02sin,Sx03cos,Sx03sin,Sx04cos,Sx04sin,Sx05cos,Sx05sin,Sx06cos,Sx06sin,Sx07cos,Sx07sin,Sx08cos,Sx08sin,Sx09cos,Sx09sin,r,cos,sin,z
29.6,0,25.56493945,18.57401063,9.27051729,28.53169307,-9.641318588,29.67296709,-21.68164721,15.7526561,-21.6,0,-22.81429224,-16.57552622,-9.826768095,-30.24358823,8.590644795,-26.43938014,26.05032495,-18.92671577,1.8,0.984807759,0.173648142,36
30,0,25.88854628,18.80912469,8.961500047,27.58063663,-9.579515264,29.48275576,-21.84345055,15.87021323,-22.2,0,-22.32888177,-16.22285545,-9.888571668,-30.43379947,8.652447995,-26.6295915,26.69753799,-19.39694473,1.8,0.984807759,0.173648142,36
30,0,25.88854628,18.80912469,8.83789315,27.20021406,-9.826728561,30.24360107,-21.51984388,15.63509896,-22.4,0,-22.97609573,-16.69308314,-9.703160949,-29.86316573,8.714251195,-26.81980287,26.53573473,-19.27938749,1.8,0.984807759,0.173648142,36
29.8,0,26.05034969,18.92668172,8.776089702,27.01000277,-9.826728561,30.24360107,-21.68164721,15.7526561,-22.8,0,-22.97609573,-16.69308314,-9.641357376,-29.67295449,8.899660795,-27.39043698,26.21212821,-19.04427301,1.8,0.984807759,0.173648142,36
30.4,0,26.21215311,19.04423875,8.899696599,27.39042534,-9.95033521,30.62402373,-21.35804054,15.51754183,-22.8,0,-23.13789922,-16.81064007,-9.641357376,-29.67295449,9.023267195,-27.77085971,26.21212821,-19.04427301,1.8,0.984807759,0.173648142,36
30.6,0,26.37395652,19.16179578,8.83789315,27.20021406,-9.95033521,30.62402373,-21.68164721,15.7526561,-22.4,0,-23.29970271,-16.92819699,-9.641357376,-29.67295449,8.961463995,-27.58064834,25.56491517,-18.57404405,1.8,0.984807759,0.173648142,36
30.2,0,26.53575994,19.27935281,9.085106945,27.9610592,-9.95033521,30.62402373,-21.68164721,15.7526561,-21.8,0,-23.6233097,-17.16331084,-9.51775023,-29.29253199,9.146873594,-28.15128245,25.07950539,-18.22137233,1.8,0.984807759,0.173648142,36
29.8,0,26.69756335,19.39690984,9.208713842,28.34148178,-9.888531885,30.4338124,-21.84345055,15.87021323,-21.6,0,-23.29970271,-16.92819699,-9.703160949,-29.86316573,8.961463995,-27.58064834,25.24130865,-18.33892957,1.8,0.984807759,0.173648142,36
30.4,0,26.69756335,19.39690984,9.146910393,28.15127049,-10.07394186,31.00444638,-21.84345055,15.87021323,-21.4,0,-23.29970271,-16.92819699,-9.764964522,-30.05337698,8.837857595,-27.20022561,25.40311191,-18.45648681,1.8,0.984807759,0.173648142,36
30.4,0,26.53575994,19.27935281,9.023303496,27.77084792,-9.888531885,30.4338124,-21.84345055,15.87021323,-21.8,0,-23.46150621,-17.04575392,-9.703160949,-29.86316573,8.837857595,-27.20022561,25.40311191,-18.45648681,1.8,0.984807759,0.173648142,36
29.4,0,26.69756335,19.39690984,9.023303496,27.77084792,-9.703121912,29.86317842,-21.84345055,15.87021323,-21.6,0,-23.13789922,-16.81064007,-9.641357376,-29.67295449,8.961463995,-27.58064834,25.24130865,-18.33892957,1.8,0.984807759,0.173648142,36
30.2,0,26.85936676,19.51446687,9.023303496,27.77084792,-9.826728561,30.24360107,-22.00525389,15.98777037,-21.4,0,-23.46150621,-17.04575392,-9.888571668,-30.43379947,8.714251195,-26.81980287,25.56491517,-18.57404405,1.8,0.984807759,0.173648142,36
30.4,0,27.02117018,19.63202389,8.961500047,27.58063663,-9.888531885,30.4338124,-21.68164721,15.7526561,-21.4,0,-23.46150621,-17.04575392,-9.764964522,-30.05337698,8.961463995,-27.58064834,25.56491517,-18.57404405,1.8,0.984807759,0.173648142,36
29.6,0,26.69756335,19.39690984,9.085106945,27.9610592,-9.641318588,29.67296709,-21.84345055,15.87021323,-21.4,0,-23.6233097,-17.16331084,-9.826768095,-30.24358823,8.837857595,-27.20022561,25.24130865,-18.33892957,1.8,0.984807759,0.173648142,36
29.6,0,26.37395652,19.16179578,9.085106945,27.9610592,-9.826728561,30.24360107,-21.68164721,15.7526561,-21,0,-23.78511319,-17.28086776,-10.07398239,-31.00443321,8.776054395,-27.01001424,24.75589887,-17.98625784,1.8,0.984807759,0.173648142,36
30.2,0,26.37395652,19.16179578,8.961500047,27.58063663,-9.826728561,30.24360107,-21.1962372,15.39998469,-21.8,0,-24.10872017,-17.51598161,-10.01217881,-30.81422197,8.776054395,-27.01001424,25.56491517,-18.57404405,1.8,0.984807759,0.173648142,36
30,0,26.05034969,18.92668172,9.085106945,27.9610592,-9.888531885,30.4338124,-21.03443386,15.28242756,-22.8,0,-23.6233097,-17.16331084,-9.764964522,-30.05337698,8.776054395,-27.01001424,25.88852169,-18.80915853,1.8,0.984807759,0.173648142,36
30,0,25.72674286,18.69156766,9.332320739,28.72190435,-9.826728561,30.24360107,-21.35804054,15.51754183,-23.2,0,-23.78511319,-17.28086776,-9.950375241,-30.62401072,8.652447995,-26.6295915,26.21212821,-19.04427301,1.8,0.984807759,0.173648142,36
31,0,25.88854628,18.80912469,9.332320739,28.72190435,-10.19754851,31.38486904,-20.54902385,14.92975615,-23.2,0,-23.78511319,-17.28086776,-9.703160949,-29.86316573,8.776054395,-27.01001424,26.05032495,-18.92671577,1.8,0.984807759,0.173648142,36
30.2,0,26.21215311,19.04423875,9.394124188,28.91211564,-10.25935183,31.57508036,-20.38722051,14.81219902,-23.4,0,-23.6233097,-17.16331084,-9.394143084,-28.9121095,8.837857595,-27.20022561,26.37393147,-19.16183025,1.8,0.984807759,0.173648142,36
30.6,0,25.88854628,18.80912469,9.455927636,29.10232693,-10.01213853,30.81423505,-21.03443386,15.28242756,-23,0,-23.6233097,-17.16331084,-9.641357376,-29.67295449,8.899660795,-27.39043698,25.56491517,-18.57404405,1.8,0.984807759,0.173648142,36
30.8,0,25.88854628,18.80912469,9.332320739,28.72190435,-9.95033521,30.62402373,-20.87263053,15.16487042,-22.2,0,-23.78511319,-17.28086776,-9.641357376,-29.67295449,8.961463995,-27.58064834,24.91770213,-18.10381509,1.8,0.984807759,0.173648142,36
