Sx00,Sx01,Sx02,Sx03,Sx04,Sx05,Sx06,Force,z,theta,r
42,44,47,33,39,37,47,-0.4,0,0,"2
"
39,44,47,35,39,37,47,-0.41,0,0,"2
"
39,44,47,35,42,37,47,-0.44,0,0,"2
"
39,44,49,33,42,31,51,-0.39,0,0,"2
"
41,44,49,33,42,31,51,-0.41,0,0,"2
"
41,42,48,33,39,31,51,-0.43,0,0,"2
"
37,42,48,36,39,31,44,-0.41,0,0,"2
"
37,42,48,36,41,31,44,-0.33,0,0,"2
"
37,43,49,36,41,36,48,-0.37,0,0,"2
"
41,43,49,36,41,36,48,-0.41,0,0,"2
"
41,43,45,36,41,33,48,-0.44,0,0,"2
"
41,42,45,33,41,33,46,-0.39,0,0,"2
"
41,42,45,33,41,33,46,-0.32,0,0,"2
"
41,39,42,33,42,35,45,-0.29,0,0,"2
"
41,39,42,35,42,35,45,-0.35,0,0,"2
"
37,40,47,35,41,40,43,2.94,0,0,"3
"
37,43,50,31,41,37,43,2.87,0,0,"3
"
37,43,50,31,41,37,45,2.89,0,0,"3
"
34,43,50,31,44,37,45,2.83,0,0,"3
"
34,38,49,33,44,40,45,2.78,0,0,"3
"
35,38,49,33,44,40,45,2.77,0,0,"3
"
35,38,52,36,42,32,45,2.7,0,0,"3
"
35,44,52,36,42,32,46,2.79,0,0,"3
"
37,44,52,36,42,32,46,2.83,0,0,"3
"
37,44,44,32,42,38,47,2.69,0,0,"3
"
37,44,44,32,42,38,47,2.69,0,0,"3
"
33,44,48,35,42,37,47,2.74,0,0,"3
"
33,41,48,35,42,37,47,2.79,0,0,"3
"
36,41,48,35,43,37,47,2.76,0,0,"3
"
36,42,51,32,43,41,47,2.74,0,0,"3
"
36,42,51,32,43,41,44,2.76,0,0,"3
"
35,42,51,32,45,41,44,2.81,0,0,"3
"
35,43,45,32,45,35,46,2.81,0,0,"3
"
34,43,45,32,45,35,46,2.71,0,0,"3
"
34,43,49,32,44,37,46,2.63,0,0,"3
"
34,46,49,32,44,37,47,2.69,0,0,"3
"
33,46,49,32,47,37,47,2.63,0,0,"3
"
33,45,52,33,47,37,48,2.65,0,0,"3
"
33,45,52,33,47,37,48,2.62,0,0,"3
"
34,45,44,35,43,36,48,2.6,0,0,"3
"
34,40,44,35,43,36,45,2.58,0,0,"3
"
33,40,44,35,43,36,45,2.58,0,0,"3
"
33,42,40,31,43,40,45,2.55,0,0,"3
"
33,42,40,31,43,40,45,2.59,0,0,"3
"
41,42,40,36,44,40,45,2.57,0,0,"3
"
41,45,45,36,44,37,49,2.67,0,0,"3
"
33,45,45,36,44,37,49,2.64,0,0,"3
"
33,45,48,35,44,38,49,2.64,0,0,"3
"
33,43,48,35,44,38,44,2.58,0,0,"3
"
33,43,48,35,43,38,44,2.52,0,0,"3
"
33,45,48,33,43,39,46,2.53,0,0,"3
"
33,45,48,33,43,39,46,2.5,0,0,"3
"
38,45,53,33,41,36,46,2.53,0,0,"3
"
38,40,53,33,41,36,46,2.52,0,0,"3
"
35,40,53,33,43,36,46,2.48,0,0,"3
"
35,42,49,33,43,33,46,2.52,0,0,"3
"
35,42,49,33,43,33,47,2.45,0,0,"3
"
34,42,49,32,42,33,47,2.43,0,0,"3
"
34,45,51,32,42,33,46,2.44,0,0,"3
"
38,45,51,32,42,33,46,2.52,0,0,"3
"
38,45,48,32,44,34,46,2.57,0,0,"3
"
38,44,48,32,44,34,43,2.43,0,0,"3
"
37,44,48,32,41,34,43,2.34,0,0,"3
"
37,47,53,31,41,37,44,2.41,0,0,"3
"
37,47,53,31,41,37,44,2.42,0,0,"3
"
34,47,48,31,44,37,44,2.38,0,0,"3
"
34,41,48,31,44,37,51,2.38,0,0,"3
"
32,41,48,31,41,37,51,2.39,0,0,"3
"
32,46,46,34,41,34,51,2.39,0,0,"3
"
32,46,46,34,41,34,47,2.32,0,0,"3
"
35,46,46,32,44,34,47,2.38,0,0,"3
"
35,45,50,32,44,34,45,2.39,0,0,"3
"
35,45,50,32,44,34,45,2.39,0,0,"3
"
33,45,46,32,43,36,45,2.43,0,0,"3
"
33,45,46,32,43,36,46,2.42,0,0,"3
"
34,45,46,32,43,36,46,2.4,0,0,"3
"
34,43,49,34,43,39,44,2.43,0,0,"3
"
34,43,49,34,43,39,44,2.44,0,0,"3
"
34,43,51,31,43,37,44,2.37,0,0,"3
"
34,43,51,31,43,37,48,2.37,0,0,"3
"
35,43,51,31,44,37,48,2.32,0,0,"3
"
35,46,50,33,44,35,48,2.33,0,0,"3
"
35,46,50,33,44,35,46,2.29,0,0,"3
"
37,46,50,34,42,35,46,2.38,0,0,"3
"
37,39,46,34,42,37,47,2.34,0,0,"3
"
37,39,46,34,44,37,47,2.36,0,0,"3
"
33,39,46,32,44,34,47,2.32,0,0,"3
"
33,39,46,32,44,34,49,2.31,0,0,"3
"
38,39,46,32,46,34,49,2.36,0,0,"3
"
38,43,50,32,46,34,47,2.35,0,0,"3
"
38,43,50,32,46,34,47,2.34,0,0,"3
"
33,43,48,34,42,41,47,2.31,0,0,"3
"
33,40,48,34,42,41,50,2.37,0,0,"3
"
41,40,48,34,45,41,50,2.32,0,0,"3
"
41,45,48,33,45,35,50,2.3,0,0,"3
"
41,45,48,33,45,35,49,2.28,0,0,"3
"
37,45,48,30,46,35,49,2.21,0,0,"3
"
37,45,47,30,46,39,46,2.21,0,0,"3
"
37,45,47,30,42,39,46,2.22,0,0,"3
"
38,45,46,31,42,36,46,2.24,0,0,"3
"
38,41,46,31,42,36,46,2.29,0,0,"3
"
37,41,46,33,43,36,46,2.27,0,0,"3
"
37,42,50,33,43,35,48,2.26,0,0,"3
"
37,42,50,33,43,35,48,2.22,0,0,"3
"
34,42,50,30,40,36,48,2.19,0,0,"3
"
34,44,50,30,40,36,47,2.17,0,0,"3
"
37,44,50,30,42,36,47,2.21,0,0,"3
"
37,43,48,30,42,33,47,2.22,0,0,"3
"
37,43,48,30,42,33,50,2.2,0,0,"3
"
39,43,48,35,42,33,50,2.23,0,0,"3
"
39,45,50,35,42,38,45,2.27,0,0,"3
"
39,45,50,35,40,38,45,2.21,0,0,"3
"
35,45,44,30,40,36,45,2.27,0,0,"3
"
35,43,44,30,40,36,48,2.29,0,0,"3
"
38,43,44,35,44,36,48,2.27,0,0,"3
"
38,42,46,35,44,37,48,2.21,0,0,"3
"
38,42,46,35,44,37,48,2.19,0,0,"3
"
38,42,49,32,44,34,48,2.18,0,0,"3
"
38,44,49,32,44,34,49,2.19,0,0,"3
"
37,44,49,36,39,34,49,2.23,0,0,"3
"
37,44,50,36,39,34,49,2.24,0,0,"3
"
37,44,50,36,39,34,48,2.21,0,0,"3
"
40,44,50,32,40,34,48,2.2,0,0,"3
"
40,39,50,32,40,36,52,2.27,0,0,"3
"
40,39,50,32,40,36,52,2.29,0,0,"3
"
37,39,50,31,40,41,52,2.28,0,0,"3
"
37,42,50,31,40,41,50,2.13,0,0,"3
"
37,42,50,31,41,41,50,2.07,0,0,"3
"
37,39,44,31,41,38,45,2.11,0,0,"3
"
37,39,44,31,41,38,45,2.22,0,0,"3
"
39,39,49,33,40,38,45,2.22,0,0,"3
"
39,37,49,33,40,38,54,2.14,0,0,"3
"
39,37,49,31,40,38,54,2.15,0,0,"3
"
39,39,50,31,40,37,54,2.09,0,0,"3
"
