Sx00cos,Sx00sin,Sx01cos,Sx01sin,Sx02cos,Sx02sin,Sx03cos,Sx03sin,Sx04cos,Sx04sin,Sx05cos,Sx05sin,Sx06cos,Sx06sin,Sx07cos,Sx07sin,Sx08cos,Sx08sin,Sx09cos,Sx09sin,r,cos,sin,z
28.8,0,25.24133262,18.33889657,8.899696599,27.39042534,-9.332301967,28.72191045,-20.54902385,14.92975615,-29.8,0,-24.27052366,-17.63353853,-10.13578596,-31.19464446,9.023267195,-27.77085971,25.72671843,-18.69160129,0.8,0.984807759,0.173648142,36
28.8,0,25.40313604,18.4564536,8.899696599,27.39042534,-9.332301967,28.72191045,-20.06361384,14.57708475,-29.4,0,-24.10872017,-17.51598161,-10.44480382,-32.14570069,8.961463995,-27.58064834,25.72671843,-18.69160129,0.8,0.984807759,0.173648142,36
29,0,25.56493945,18.57401063,8.961500047,27.58063663,-9.270498642,28.53169912,-20.22541718,14.69464188,-28.8,0,-24.43232715,-17.75109546,-10.32119668,-31.7652782,9.085070395,-27.96107108,25.56491517,-18.57404405,0.8,0.984807759,0.173648142,36
28.8,0,25.72674286,18.69156766,9.023303496,27.77084792,-9.08508867,27.96106514,-20.38722051,14.81219902,-28.4,0,-24.43232715,-17.75109546,-10.5066074,-32.33591194,9.085070395,-27.96107108,25.07950539,-18.22137233,0.8,0.984807759,0.173648142,36
28.6,0,25.56493945,18.57401063,9.146910393,28.15127049,-9.146891994,28.15127647,-21.03443386,15.28242756,-28.4,0,-24.43232715,-17.75109546,-10.44480382,-32.14570069,8.899660795,-27.39043698,24.59409561,-17.8687006,0.8,0.984807759,0.173648142,36
27.8,0,25.72674286,18.69156766,9.146910393,28.15127049,-9.270498642,28.53169912,-21.35804054,15.51754183,-29,0,-24.43232715,-17.75109546,-10.32119668,-31.7652782,8.899660795,-27.39043698,24.27048909,-17.63358612,0.8,0.984807759,0.173648142,36
27.4,0,25.56493945,18.57401063,9.208713842,28.34148178,-9.270498642,28.53169912,-21.03443386,15.28242756,-29.6,0,-25.07954112,-18.22132315,-10.19758953,-31.38485571,9.146873594,-28.15128245,24.43229235,-17.75114336,0.8,0.984807759,0.173648142,36
26.6,0,25.56493945,18.57401063,9.146910393,28.15127049,-9.208695318,28.3414878,-21.35804054,15.51754183,-29.8,0,-25.24134461,-18.33888007,-10.44480382,-32.14570069,9.085070395,-27.96107108,24.27048909,-17.63358612,0.8,0.984807759,0.173648142,36
27.4,0,25.24133262,18.33889657,9.146910393,28.15127049,-9.394105291,28.91212178,-22.32886056,16.22288464,-29.4,0,-25.4031481,-18.456437,-10.25939311,-31.57506695,9.023267195,-27.77085971,24.75589887,-17.98625784,0.8,0.984807759,0.173648142,36
27.2,0,25.40313604,18.4564536,9.146910393,28.15127049,-9.455908615,29.10233311,-22.81427057,16.57555604,-29.4,0,-25.56495159,-18.57399392,-10.32119668,-31.7652782,8.961463995,-27.58064834,24.43229235,-17.75114336,0.8,0.984807759,0.173648142,36
27.8,0,25.24133262,18.33889657,9.27051729,28.53169307,-9.394105291,28.91212178,-22.97607391,16.69311318,-29,0,-25.56495159,-18.57399392,-10.19758953,-31.38485571,9.085070395,-27.96107108,24.59409561,-17.8687006,0.8,0.984807759,0.173648142,36
28.8,0,24.59411896,17.86866845,9.332320739,28.72190435,-9.51771194,29.29254443,-23.62328726,17.16334172,-28.6,0,-25.56495159,-18.57399392,-10.13578596,-31.19464446,9.146873594,-28.15128245,24.59409561,-17.8687006,0.8,0.984807759,0.173648142,36
29.8,0,24.43231555,17.75111143,9.27051729,28.53169307,-9.641318588,29.67296709,-23.29968059,16.92822745,-28.8,0,-25.4031481,-18.456437,-10.07398239,-31.00443321,9.146873594,-28.15128245,24.91770213,-18.10381509,0.8,0.984807759,0.173648142,36
29.6,0,24.43231555,17.75111143,9.208713842,28.34148178,-9.579515264,29.48275576,-23.29968059,16.92822745,-29.4,0,-25.07954112,-18.22132315,-10.13578596,-31.19464446,8.961463995,-27.58064834,24.43229235,-17.75114336,0.8,0.984807759,0.173648142,36
30,0,24.43231555,17.75111143,9.023303496,27.77084792,-9.332301967,28.72191045,-22.65246724,16.45799891,-29.2,0,-24.91773763,-18.10376623,-10.01217881,-30.81422197,8.837857595,-27.20022561,24.91770213,-18.10381509,0.8,0.984807759,0.173648142,36
30.4,0,24.43231555,17.75111143,8.83789315,27.20021406,-9.394105291,28.91212178,-22.97607391,16.69311318,-29.4,0,-25.24134461,-18.33888007,-10.01217881,-30.81422197,8.714251195,-26.81980287,25.24130865,-18.33892957,0.8,0.984807759,0.173648142,36
29.4,0,25.07952921,18.22133954,8.714286253,26.81979148,-9.146891994,28.15127647,-22.97607391,16.69311318,-29.8,0,-25.07954112,-18.22132315,-10.25939311,-31.57506695,8.590644795,-26.43938014,25.24130865,-18.33892957,0.8,0.984807759,0.173648142,36
28.6,0,25.24133262,18.33889657,8.714286253,26.81979148,-9.146891994,28.15127647,-23.29968059,16.92822745,-29.4,0,-24.91773763,-18.10376623,-10.07398239,-31.00443321,8.281628795,-25.4883233,25.40311191,-18.45648681,0.8,0.984807759,0.173648142,36
28.4,0,25.24133262,18.33889657,8.961500047,27.58063663,-8.961482021,27.58064249,-22.00525389,15.98777037,-29.2,0,-24.75593413,-17.9862093,-10.07398239,-31.00443321,8.528841595,-26.24916877,25.24130865,-18.33892957,0.8,0.984807759,0.173648142,36
28,0,25.07952921,18.22133954,9.146910393,28.15127049,-9.08508867,27.96106514,-22.65246724,16.45799891,-29.2,0,-24.43232715,-17.75109546,-10.32119668,-31.7652782,8.776054395,-27.01001424,24.75589887,-17.98625784,0.8,0.984807759,0.173648142,36
